Film	director	screenwriter	actor
功夫瑜伽	唐季礼	唐季礼	成龙 / 李治廷 / 张艺兴 / 索努·苏德 / 母其弥雅 / 迪莎·帕塔尼 / 艾米拉·达斯特 / 尚语贤 / 姜雯 / 张国立
小戏骨：放开那三国	潘礼平 / 邹江 / 尹俊欢	邢育森 / 高翔	陶奕希 / 李俊豪 / 葛奕德 / 赵晨翔 / 陈荣达 / 罗自豪 / 陶冰蓝 / 周冉 / 黎哲彬 / 祁晟原 / 段智文 / 周柯伊 / 赵士添
狙击精英：巅峰对决	克劳迪奥·法	克里斯·昊提 / Michael Frost Beckner / Crash Leyland	查德·科林斯 / 乔·兰多 / 丹妮·加西亚 / 比利·赞恩 / 汤姆·贝伦杰 / Juan Sebastián Calero / Juan Pablo Gamboa / Felipe Calero / Lucho Velasco
原谅他77次	邱礼涛	李敏	蔡卓妍 / 周柏豪  / 诗雅 / 钟欣潼 / 卢巧音 / 郑希怡 / 雷琛瑜 / 郑诗君 / 陆永 / 林盛斌 / 小肥 / 惠英红 / 吴镇宇 / 郑丹瑞 / 李蕙敏 / 泰臣 / 孙佳君 / 韦罗莎 / 黄秋生
异形：契约	雷德利·斯科特	迈克尔·格林 / 约翰·洛根 / 杰克·帕格恩	迈克尔·法斯宾德 / 凯瑟琳·沃特斯顿 / 比利·克鲁德普 / 丹尼·麦克布莱德 / 德米安·比齐尔 / 卡门·艾乔戈 / 朱西·斯莫利特 / 考莉·埃尔南德斯 / 艾米·西米茨 / 纳撒尼尔·迪安 / 亚历山大·英格兰 / 本杰明·里格比 / 乌利·拉图基孚 / 泰丝·哈乌布里奇 / 罗蕾莱·金 / 哈维尔·博泰特 / 詹姆斯·弗兰科 / 盖·皮尔斯 / 劳米·拉佩斯
斯隆女士	约翰·马登	乔纳森·佩雷拉	杰西卡·查斯坦 / 古古·姆巴塔-劳 / 约翰·利特高 / 艾丽森·皮尔 / 迈克尔·斯图巴 / 马克·斯特朗 / 杰克·莱西 / 道格拉斯·史密斯 / 萨姆·沃特森 / 迪伦·贝克 / 恩尼斯·埃斯莫 / 梅格翰·法伊 / 亚历桑德拉·卡斯蒂略 / 凯尔·麦克 / 杰克·默里
美女与野兽	比尔·康顿	斯蒂芬·切波斯基 / 埃文·斯彼里奥托普洛斯 / 琳达·伍尔芙顿 / 珍妮-玛丽·勒普兰斯·德博蒙	艾玛·沃森 / 丹·史蒂文斯 / 卢克·伊万斯 / 凯文·克莱恩 / 乔什·加德 / 伊万·麦克格雷格 / 伊恩·麦克莱恩 / 艾玛·汤普森 / 斯坦利·图齐 / 古古·姆巴塔-劳 / 奥德拉·麦克唐纳 / 内森·麦克 / 哈蒂·莫拉汉 / 迈克尔·吉普森 / 水野索诺娅 / 亨利·加勒特 / 戴尔·布兰斯顿
逃出绝命镇	乔丹·皮尔	乔丹·皮尔	丹尼尔·卡卢亚 / 艾莉森·威廉姆斯 / 凯瑟琳·基纳 / 布莱德利·惠特福德 / 卡赖伯·兰德里·琼斯 / 马库斯·亨德森 / 贝蒂·加布里埃尔 / 勒凯斯·斯坦菲尔德 / 斯蒂芬·鲁特 / 里尔·莱尔·哈瓦瑞 / 艾希礼·勒孔特·坎贝尔 / 卡伦·L·拉基 / 朱莉·安·多恩 / 杰拉尔丁·辛格 / 理查德·赫德 / 埃里卡·亚历山大
表情奇幻冒险	安东尼·莱昂迪斯	安东尼·莱昂迪斯 / 艾瑞克·希格尔 / 麦克·怀特	T·J·米勒 / 詹姆斯·柯登 / 安娜·法瑞丝 / 玛娅·鲁道夫 / 史蒂夫·赖特 / 詹妮佛·库里奇 / 帕特里克·斯图尔特 / 克里斯蒂娜·阿奎莱拉 / 索菲娅·维加拉 / 瑞秋·雷 / 西恩·海耶斯 / 杰克·T·奥斯汀 / 塔蒂·加布里埃 / 杰夫瑞·罗斯 / 亨特·玛奇 / 艾瑞克·希格尔 / 肖恩·吉布朗尼 / 连姆·艾肯 / 索姆·毕绍普斯 / 凯文·张伯伦 / 亚当·布朗 / 乔·怀特 / 康拉德·弗农 / 凯特·歌妮
一条狗的使命	拉斯·霍尔斯道姆	W·布鲁斯·卡梅伦 / 凯瑟琳·迈克 / 奥黛丽·威尔斯 / 玛雅·福布斯 / 沃利·亚历斯戴尔	乔什·加德 / 布丽特·罗伯森 / 丹尼斯·奎德 / 佩吉·利普顿 / K·J·阿帕 / 布莱斯·吉扎尔 / 朱丽叶·赖伦斯 / 卢克·科比  / 加布里埃尔·罗斯 / 迈克尔·博夫舍维尔 / 洛根·米勒 / 柯比·豪厄-尔巴普蒂斯特 / 普奇·豪尔 / 约翰·奥提兹 / 妮科尔·勒普拉卡 / 彼特·科拉米斯 / 卡罗琳·凯芙 / 简·迈克格雷格 / 科维西·阿梅扬 / 卡琳·博姆拜克 / 娜奥米·弗伦内特
春娇救志明	彭浩翔	彭浩翔 / 尹志文 / 陆以心	余文乐 / 杨千嬅 / 蒋梦婕 / 曾国祥 / 邵音音 / 秦沛 / 王晓晨 / 李程彬
宝贝老板	汤姆·麦格拉思	迈克尔·麦库勒斯 / 玛拉·弗雷齐	亚历克·鲍德温 / 迈尔斯·克里斯托弗·巴克什 / 吉米·坎摩尔 / 丽莎·库卓 / 史蒂夫·布西密 / 托比·马奎尔 / 詹姆斯·麦格拉思 / 康拉德·弗农 / 薇薇安·叶 / 小埃里克·贝尔 / 大卫·索伦 / 伊迪·米尔曼 / 詹姆斯·雷恩 / 沃尔特·道恩 / 朱尔斯·温特
黑子的篮球：最后的游戏	多田俊介	高木登 / 藤卷忠俊	小野贤章 / 小野友树 / 神谷浩史 / 诹访部顺一 / 小野大辅 / 木村良平 / 铃村健一 / 绿川光 / 稻田彻
与君相恋100次	月川翔	大岛里美	miwa / 坂口健太郎 / 龙星凉 / 真野惠里菜 / 泉泽祐希 / 太田莉菜 / 大石吾朗 / 堀内敬子 / 田边诚一
逆时营救	尹鸿承	査慕春	杨幂 / 霍建华 / 金士杰 / 刘畅 / 张艺瀚  / 王俐丹
亚瑟王：斗兽争霸	盖·里奇	卓比·哈罗德 / 盖·里奇 / 莱昂内尔·威格拉姆 / 大卫·道金	查理·汉纳姆 / 裘德·洛 / 阿斯特丽德·伯格斯-弗瑞斯贝 / 米卡埃尔·佩斯布兰特 / 杰曼·翰苏 / 安娜贝拉·沃丽丝 / 艾瑞克·巴纳 / 艾丹·吉伦 / 尼尔·马斯克尔 / 赫敏·科菲尔德 / 凯蒂·麦克格雷斯 / 杰奎·安斯蕾 / 弗莱迪·福克斯 / 波比·迪瓦伊 / 朱利安·西格尔 / 大卫·贝克汉姆 / 杰夫·贝尔 / 米莉·布拉迪 / 乔治娜·坎贝尔 / 丹尼尔·斯蒂森 / 伊琳·珀威尔 / 迈克尔·麦克埃尔哈顿 / 阿德里安·布薛特 / 彼得·费迪南多 / 汤姆·吴 / 金斯利·本-阿德 / 盖·里奇
刺客信条	贾斯汀·库泽尔 	比尔·科拉奇 / 亚当·库珀 / 迈克尔·莱斯利	迈克尔·法斯宾德 / 玛丽昂·歌迪亚 / 杰瑞米·艾恩斯 / 布莱丹·格里森 / 夏洛特·兰普林 / 迈克尔·肯尼斯·威廉姆斯 / 德尼·梅诺谢 / 亚里安妮·拉贝德 / 赫立德·阿卜杜拉 / 艾斯·戴维斯 / 马蒂亚斯·瓦雷拉 / 卡勒姆·特纳 / 卡洛斯·巴登 / 哈维尔·古铁雷斯 / 霍威克·库区科利安
猫咪后院之家	藏方政俊	永森裕二	伊藤淳史 / 忽那汐里 / 户田昌宏 / 大久保佳代子 / 青户浩香 / 木村多江
奇异博士	斯科特·德瑞克森	史蒂夫·迪特寇 / 托马斯·迪恩·唐纳利 / 斯坦·李 / 乔·斯派茨 / 约书亚·奥本海默	本尼迪克特·康伯巴奇 / 蒂尔达·斯文顿 / 麦斯·米科尔森 / 切瓦特·埃加福特 / 瑞秋·麦克亚当斯 / 迈克尔·斯图巴 / 本尼迪克特·王 / 本杰明·布拉特 / 斯科特·阿金斯 / 莎拉·费希恩 / 阿拉·萨菲
父子雄兵	袁卫东	苏亮 / 毛海青	大鹏 / 范伟 / 张天爱 / 乔杉 / 邬君梅 / 任达华 / 梁龙 / 马书良 / 柳岩
隐藏人物	西奥多·梅尔菲	艾莉森·施罗德 / 西奥多·梅尔菲 / 玛戈特·李·谢特利	塔拉吉·P·汉森 / 奥克塔维亚·斯宾瑟 / 加奈儿·梦奈 / 凯文·科斯特纳 / 克斯汀·邓斯特 / 吉姆·帕森斯 / 马赫沙拉·阿里 / 阿尔迪斯·霍吉 / 格伦·鲍威尔 / 金贝利·奎恩 / 奥莱克·克鲁帕
绝世高手	卢正雨	卢正雨 / 赵英俊 / 冷旭阳 / 果小丹	卢正雨 / 郭采洁 / 范伟 / 蔡国庆 / 陈冲 / 仓田保昭 / 孔连顺 / 黄龄 / 杨迪 / 柯达 / 艾伦 / 赵英俊 / 魏翔 / 汪聪 / 何蓝逗
亨利之书	科林·特雷沃罗	格雷格·赫维兹	娜奥米·沃茨 / 杰顿·李博赫 / 雅各布·特伦布莱 / 萨拉·西尔弗曼 / 迪恩·诺里斯 / 李·佩斯 / 麦迪·齐格勒 / 托尼娅·皮金斯 / 鲍比·莫尼汉 / 杰拉尔丁·休斯 / 马克斯韦尔·锡姆金斯 / 杰克逊·尼科尔 / 唐奈塔·拉维尼亚·格雷斯 / 乔尔·加兰 / 沃斯·史蒂文斯
罗曼蒂克消亡史	程耳	程耳	葛优 / 章子怡 / 浅野忠信 / 杜淳 / 钟欣潼 / 倪大红 / 赵宝刚 / 袁泉 / 闫妮 / 韩庚 / 霍思燕 / 杜江 / 王传君 / 钟汉良 / 马晓伟 / 吕行 / 乔笑笑 / 刘天阳 / 赵海涛 / 叶禾 / 周敬峰 / 杨露璐 / 松峰莉璃 / 松浦敬之 / 平田康之 / 张晓龙 / 郭晓小 / 小黑
失眠	邱礼涛	李敏	黄秋生 / 诗雅 / 林家栋 / 麦子乐 / 吴俐璇
独自在夜晚的海边	洪尚秀	洪尚秀	金敏喜 / 徐永嬅 / 郑在咏 / 文成根 / 权海骁 / 宋宣美 / 安在洪
金刚：骷髅岛	乔丹·沃格特-罗伯茨	麦克思·鲍伦斯坦 / 约翰·盖汀斯 / 丹·吉尔罗伊 / 德里克·康纳利	汤姆·希德勒斯顿 / 布丽·拉尔森 / 塞缪尔·杰克逊 / 约翰·古德曼 / 景甜 / 约翰·C·赖利 / 托比·凯贝尔 / 科里·霍金斯 / 汤姆·威尔金森 / 托马斯·曼 / 杰森·米切尔 / 谢伊·惠格姆 / 约翰·奥提兹 / 尤金·科德罗
猜火车2	丹尼·博伊尔	约翰·霍奇 / 埃文·威尔什	伊万·麦克格雷格 / 约翰尼·李·米勒 / 罗伯特·卡莱尔 / 艾文·布莱纳 / 雪莉·亨德森 / 安杰拉·奈迪亚科娃 / 史蒂文·罗伯特森 / 戈登·肯尼迪 / 西蒙·韦尔 / 詹姆斯·卡沙莫 / 梁佩诗 / 阿塔·雅谷伯 / 埃文·威尔什 / 凯莉·麦克唐纳 / 艾琳·尼古拉斯 / 凯文·麦克基德 / 艾米·曼森 / 波林·林奇 / 特丽莎·达斯科娃
仓皇一夜	露西亚·安尼洛	露西亚·安尼洛 / 保罗·当斯	斯嘉丽·约翰逊 / 吉莉恩·贝尔 / 佐伊·克罗维兹 / 伊拉纳·格雷泽 / 凯特·麦克金农 / 保罗·当斯 / 瑞安·库柏 / 泰·布利尔 / 黛米·摩尔 / 恩里克·穆西安诺 / 迪恩·文特斯 / 科尔顿·海恩斯 / 帕特里克·卡莱尔 / 埃里克·安德烈 / 博·伯翰
在这世界的角落	片渊须直	片渊须直 / 河野史代	能年玲奈 / 细谷佳正 / 尾身美词 / 稻叶菜月 / 牛山茂 / 新谷真弓 / 小野大辅 / 岩井七世 / 潘惠美 / 京田尚子 / 涩谷天外 / 小山刚志 / 津田真澄
“吃吃”的爱	蔡康永	蔡康永	徐熙娣 / 林志玲 / 金世佳 / 李子峰 / 陈汉典 / 范湉湉 / 傅雷 / 沈玉琳 / 梁赫群 / 赵正平 / 高山峰 / 马国贤 / 利晴天 / 曾恺玹 / 陈为民 / 小钟 / 谢依霖 / 仇佩佩 / 小甜甜 / 黄腾浩 / 郭文颐 / 张立东 / 杨升达 / 韩宜邦
麻烦家族	黄磊	山田洋次 / 黄磊	黄磊 / 海清 / 王迅 / 李立群 / 孙莉 / 魏大勋 / 张伟欣 / 任容萱 / 何炅 / 岳云鹏 / 孟非 / 闫妮 / 英达
蜡笔小新：宇宙人来袭	桥本昌和	臼井仪人	矢岛晶子 / 楢桥美纪 / 森川智之 / 兴梠里美 / 泽城美雪 / 宫迫博之 / 萤原徹 / 志田未来
圆圈	詹姆斯·庞索特	詹姆斯·庞索特 / 戴夫·艾格斯	艾玛·沃森 / 汤姆·汉克斯 / 格伦妮·海德利 / 比尔·帕克斯顿 / 凯伦·吉兰 / 埃拉·科尔特兰 / 贝克 / 内森·科德里 / 马莫多·阿西 / 约翰·博耶加 / 诺玛·索尔迪瓦尔 / 伊芙·戈登 / 帕顿·奥斯瓦尔特 / 阿米尔·塔莱 / 普娜·贾甘纳坦 / 艾伦·王 / 黄谷悦
长城	张艺谋	马克斯·布鲁克斯 / 爱德华·兹威克 / 马歇尔·赫斯科维兹 / 托尼·吉尔罗伊 / 托马斯·图尔	马特·达蒙 / 景甜 / 佩德罗·帕斯卡 / 刘德华 / 威廉·达福 / 张涵予 / 鹿晗 / 彭于晏 / 林更新 / 郑恺 / 黄轩 / 陈学冬 / 王俊凯 / 余心恬 / 刘冰 / 李亨 / 李京沐 / 纽曼·阿卡 / 约翰尼·希科 / 皮鲁·埃斯贝克
一锤定音	里克·罗曼·沃夫	里克·罗曼·沃夫	尼古拉·科斯特-瓦尔道 / 蕾克·贝尔 / 乔·博恩瑟 / 杰弗里·多诺万 / 欧玛瑞·哈德威克 / 霍特·麦克卡兰尼 / 洁西·斯克拉姆 / 本杰明·布拉特 / 迈克尔·兰德斯 / 艾莫里·科恩 / 伊万·琼斯 / 胡安·巴勃罗·拉瓦 / 克里斯·勃朗宁 / 萨拉·明妮奇 / 基思·雅各 / 马特·杰拉德
分裂	M·奈特·沙马兰	M·奈特·沙马兰	詹姆斯·麦卡沃伊 / 安雅·泰勒-乔伊 / 贝蒂·巴克利 / 海利·路·理查森 / 杰西卡·苏拉 / 丽兹·科菲 / 布拉德·威廉姆·亨克 / 塞巴斯蒂安·阿塞勒斯 / 金·迪莱克特 / 斯特林·K·布朗 / 琳·莱妮 / 尼尔·哈夫 / 玛丽亚·布雷曼 / 布鲁斯·威利斯
